date,adm2_id,ADM2_PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2021-01-01,25840,LK45,41.0,101.5854,38.2098,292.8049,183.9545,986.5122,827.5935,246.6697,156.1216,118.9732,final
2021-01-11,25840,LK45,41.0,120.561,24.2545,328.9024,127.3837,1087.8049,795.4455,429.2027,246.6831,136.2978,final
2021-01-21,25840,LK45,41.0,7.0,26.0366,229.1463,88.5008,1080.4634,730.1756,38.664,242.7862,147.325,final
2021-02-01,25840,LK45,41.0,10.122,16.4992,137.6829,66.7902,931.1707,604.9163,70.3373,192.3199,153.0567,final
2021-02-11,25840,LK45,41.0,6.7073,10.7528,23.8293,53.2886,829.1463,484.9309,74.3187,53.4524,169.5482,final
2021-02-21,25840,LK45,41.0,3.8049,7.2797,20.6341,34.5317,735.9024,357.5837,71.7029,68.7918,202.9204,final
2021-03-01,25840,LK45,41.0,6.1707,12.0911,16.6829,30.1236,447.1707,280.8683,65.3601,66.5019,157.1745,final
2021-03-11,25840,LK45,41.0,2.5854,9.1805,12.561,28.5512,365.2927,209.2236,53.4916,58.5221,171.1918,final
2021-03-21,25840,LK45,41.0,6.0976,10.965,14.8537,32.2366,264.6341,155.2691,69.5116,58.8439,166.1739,final
2021-04-01,25840,LK45,41.0,12.2195,24.5049,20.9024,44.6504,175.2683,141.5642,58.3616,56.5457,122.2375,final
2021-04-11,25840,LK45,41.0,70.8537,32.3366,89.1707,67.8065,125.561,149.6463,203.1617,127.4582,84.9133,final
2021-04-21,25840,LK45,41.0,15.0976,26.5683,98.1707,83.4098,133.6585,150.178,63.6638,115.8024,89.6868,final
2021-05-01,25840,LK45,41.0,12.5366,11.1837,98.4878,70.0886,136.0732,144.8626,108.3593,135.4597,94.3244,final
2021-05-11,25840,LK45,41.0,4.6098,5.8089,32.2439,43.561,133.9756,139.9187,88.9056,78.8707,96.0358,final
2021-05-21,25840,LK45,41.0,3.561,2.8407,20.7073,19.8333,133.7317,135.4797,109.1871,102.9296,98.7985,final
2021-06-01,25840,LK45,41.0,4.3659,0.5837,12.5366,9.2333,131.9268,123.9724,167.7344,117.1746,105.9374,final
2021-06-11,25840,LK45,41.0,0.0,0.0,7.9268,3.4244,129.3415,114.7919,100.0,133.5392,111.6591,final
2021-06-21,25840,LK45,41.0,0.0,0.0,4.3659,0.5837,123.2439,103.8268,100.0,135.7351,117.0584,final
2021-07-01,25840,LK45,41.0,0.0,0.0,0.0,0.0,111.0244,79.322,100.0,100.0,135.4923,final
2021-07-11,25840,LK45,41.0,0.0,0.0,0.0,0.0,40.1707,46.9854,100.0,100.0,88.0414,final
2021-07-21,25840,LK45,41.0,0.0244,0.0626,0.0244,0.0626,25.0976,20.4797,99.2452,99.6203,115.1507,final
2021-08-01,25840,LK45,41.0,0.122,0.2821,0.1463,0.3447,12.6829,9.578,96.9678,98.0824,115.859,final
2021-08-11,25840,LK45,41.0,1.561,0.5902,1.7073,0.935,9.6341,4.3593,117.3647,107.0632,136.7342,final
2021-08-21,25840,LK45,41.0,4.9756,3.3228,6.6585,4.1951,11.0488,4.8415,119.8593,117.354,141.8242,final
2021-09-01,25840,LK45,41.0,7.3171,10.6098,13.8537,14.5228,14.0,14.8675,78.9062,97.2715,96.5116,final
2021-09-11,25840,LK45,41.0,11.8293,10.3195,24.122,24.252,25.8293,25.187,109.8551,99.6202,101.8253,final
2021-09-21,25840,LK45,41.0,22.439,21.6675,41.5854,42.5967,48.2683,46.8545,102.8932,98.0771,102.4867,final
2021-10-01,25840,LK45,41.0,113.0732,42.461,147.3415,74.448,161.3415,89.3154,248.7795,186.3176,172.5225,final
2021-10-11,25840,LK45,41.0,14.5122,56.4024,150.0244,120.5309,175.8537,145.7179,31.7776,122.595,119.3528,final
2021-10-21,25840,LK45,41.0,151.8293,91.3065,279.4146,190.1699,327.6585,236.9618,162.8439,144.5845,136.725,final
2021-11-01,25840,LK45,41.0,359.878,141.7585,526.2195,289.4675,687.4146,378.4382,248.6248,179.0577,179.5433,final
2021-11-11,25840,LK45,41.0,125.4878,130.7382,637.1951,363.8033,811.3415,508.5862,96.132,173.1379,158.3809,final
